country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,7.88,8.10,8.31,8.55,8.80,9.05,9.29,9.53,9.77,10.01,10.27,10.52,10.77,11.04,11.30,11.57
Angola,5.15,5.32,5.51,5.71,5.92,6.14,6.37,6.61,6.87,7.12,7.37,7.60,7.83,8.06,8.29,8.52
Albania,5.86,5.99,6.13,6.26,6.39,6.52,6.64,6.76,6.88,7.00,7.12,7.24,7.35,7.46,7.57,7.69
Andorra,7.67,7.73,7.79,7.85,7.90,7.95,7.99,8.02,8.04,8.05,8.05,8.05,8.06,8.05,8.06,8.09
United Arab Emirates,11.47,11.81,12.17,12.55,12.95,13.33,13.67,13.97,14.22,14.42,14.57,14.65,14.67,14.77,14.88,15.02
Argentina,8.68,8.75,8.80,8.84,8.88,8.94,9.00,9.08,9.16,9.25,9.34,9.44,9.55,9.66,9.77,9.88
Armenia,7.63,7.78,7.95,8.15,8.36,8.60,8.85,9.09,9.35,9.60,9.81,10.03,10.27,10.50,10.74,10.99
Antigua and Barbuda,6.30,6.48,6.65,6.83,7.03,7.24,7.46,7.71,7.97,8.23,8.49,8.75,9.01,9.30,9.60,9.92
Australia,6.63,6.69,6.73,6.77,6.79,6.81,6.82,6.82,6.82,6.82,6.81,6.81,6.80,6.79,6.79,6.79
Austria,5.08,5.14,5.20,5.25,5.29,5.32,5.34,5.35,5.36,5.36,5.35,5.36,5.37,5.38,5.39,5.41
Azerbaijan,7.26,7.42,7.60,7.80,8.03,8.28,8.56,8.87,9.19,9.53,9.88,10.22,10.56,10.89,11.23,11.57
Burundi,2.44,2.54,2.65,2.75,2.87,2.98,3.09,3.20,3.32,3.44,3.56,3.68,3.81,3.94,4.09,4.24
Belgium,5.92,5.89,5.85,5.83,5.80,5.77,5.75,5.72,5.70,5.68,5.66,5.65,5.65,5.65,5.66,5.67
Benin,5.54,5.69,5.83,5.97,6.11,6.25,6.38,6.52,6.65,6.77,6.87,6.97,7.07,7.17,7.28,7.39
Burkina Faso,4.63,4.80,4.99,5.19,5.39,5.61,5.81,6.01,6.20,6.38,6.55,6.71,6.87,7.03,7.20,7.36
Bangladesh,7.31,7.53,7.74,7.96,8.17,8.38,8.59,8.79,8.99,9.18,9.36,9.53,9.71,9.89,10.07,10.25
Bulgaria,6.31,6.42,6.53,6.65,6.77,6.89,7.02,7.15,7.30,7.45,7.60,7.76,7.93,8.09,8.25,8.42
Bahrain,10.47,10.58,10.69,10.79,10.89,10.99,11.09,11.18,11.27,11.37,11.46,11.55,11.64,11.75,11.87,12.01
Bahamas,9.27,9.44,9.60,9.76,9.91,10.06,10.19,10.30,10.42,10.52,10.62,10.72,10.83,10.94,11.07,11.21
Bosnia and Herzegovina,6.46,6.67,6.87,7.05,7.20,7.32,7.41,7.48,7.54,7.59,7.64,7.70,7.78,7.83,7.89,7.96
Belarus,6.27,6.37,6.47,6.58,6.70,6.82,6.95,7.07,7.19,7.31,7.43,7.54,7.66,7.78,7.90,8.01
Belize,7.59,7.76,7.94,8.10,8.26,8.42,8.56,8.70,8.84,8.97,9.11,9.27,9.45,9.63,9.81,10.00
Bolivia,5.51,5.58,5.66,5.73,5.80,5.87,5.94,6.03,6.12,6.22,6.32,6.43,6.55,6.67,6.81,6.95
Brazil,6.56,6.65,6.73,6.81,6.88,6.97,7.05,7.13,7.22,7.30,7.37,7.46,7.53,7.62,7.71,7.80
Barbados,7.57,7.76,7.94,8.13,8.32,8.51,8.70,8.89,9.09,9.28,9.47,9.67,9.87,10.07,10.29,10.51
Brunei Darussalam,8.39,8.51,8.63,8.75,8.85,8.94,9.02,9.09,9.14,9.16,9.18,9.18,9.18,9.19,9.19,9.21
Bhutan,8.66,8.96,9.25,9.54,9.82,10.08,10.33,10.56,10.78,10.99,11.17,11.34,11.50,11.66,11.80,11.94
Botswana,5.35,5.50,5.64,5.76,5.88,5.99,6.10,6.22,6.37,6.52,6.67,6.84,7.02,7.19,7.38,7.57
Central African Republic,4.96,5.11,5.26,5.43,5.60,5.78,5.97,6.17,6.38,6.61,6.84,7.08,7.31,7.56,7.76,7.98
Canada,6.04,6.07,6.11,6.14,6.17,6.20,6.22,6.23,6.24,6.25,6.24,6.23,6.22,6.22,6.22,6.23
Switzerland,4.72,4.74,4.77,4.79,4.82,4.85,4.89,4.93,4.97,5.01,5.05,5.09,5.12,5.18,5.23,5.30
Chile,8.34,8.43,8.51,8.60,8.69,8.79,8.90,9.01,9.14,9.27,9.40,9.53,9.68,9.83,9.99,10.16
China,5.94,6.15,6.38,6.61,6.85,7.10,7.36,7.64,7.91,8.19,8.47,8.75,9.03,9.32,9.61,9.90
Côte d’Ivoire,5.46,5.57,5.69,5.81,5.92,6.04,6.16,6.28,6.40,6.52,6.65,6.79,6.92,7.05,7.19,7.34
Cameroon,4.90,5.02,5.14,5.27,5.40,5.53,5.66,5.79,5.90,6.01,6.11,6.20,6.27,6.36,6.45,6.55
Democratic Republic of the Congo,4.08,4.18,4.28,4.39,4.51,4.63,4.77,4.91,5.05,5.21,5.36,5.51,5.68,5.85,6.04,6.23
Congo,5.67,5.76,5.86,5.96,6.07,6.18,6.30,6.43,6.57,6.71,6.86,7.02,7.19,7.36,7.54,7.72
Colombia,6.55,6.68,6.80,6.91,7.03,7.14,7.26,7.37,7.48,7.59,7.71,7.82,7.94,8.06,8.19,8.33
Comoros,5.64,5.78,5.91,6.04,6.18,6.32,6.47,6.61,6.76,6.90,7.05,7.20,7.35,7.51,7.68,7.86
Cabo Verde,6.41,6.67,6.93,7.17,7.40,7.63,7.85,8.04,8.22,8.39,8.53,8.65,8.76,8.87,8.97,9.06
Costa Rica,6.86,7.03,7.19,7.33,7.48,7.62,7.75,7.87,7.99,8.11,8.23,8.36,8.48,8.60,8.72,8.85
Cuba,6.64,6.66,6.67,6.69,6.70,6.70,6.71,6.73,6.75,6.79,6.84,6.93,7.03,7.11,7.20,7.29
Cyprus,6.80,6.94,7.07,7.20,7.32,7.44,7.55,7.65,7.75,7.83,7.92,7.99,8.06,8.14,8.21,8.28
Czech Republic,7.05,7.11,7.19,7.28,7.37,7.47,7.58,7.69,7.79,7.90,7.99,8.07,8.16,8.25,8.34,8.44
Germany,5.70,5.72,5.75,5.78,5.81,5.83,5.84,5.86,5.87,5.88,5.89,5.91,5.92,5.95,5.98,6.02
Djibouti,8.06,8.13,8.19,8.25,8.31,8.37,8.42,8.47,8.52,8.56,8.59,8.59,8.58,8.59,8.61,8.64
Dominica,6.49,6.61,6.73,6.85,6.98,7.10,7.22,7.36,7.50,7.64,7.77,7.90,8.05,8.19,8.33,8.48
Denmark,5.61,5.61,5.60,5.58,5.55,5.51,5.48,5.46,5.44,5.41,5.39,5.38,5.37,5.36,5.36,5.37
Dominican Republic,6.44,6.69,6.92,7.14,7.33,7.49,7.64,7.78,7.90,8.03,8.14,8.25,8.33,8.44,8.54,8.63
Algeria,8.31,8.55,8.81,9.06,9.33,9.61,9.88,10.14,10.41,10.68,10.96,11.22,11.47,11.73,12.00,12.26
Ecuador,5.61,5.71,5.81,5.90,5.99,6.09,6.19,6.30,6.41,6.54,6.67,6.81,6.96,7.12,7.29,7.47
Egypt,10.54,10.82,11.11,11.41,11.71,12.02,12.33,12.65,13.00,13.37,13.77,14.20,14.65,15.09,15.53,15.99
Eritrea,4.19,4.32,4.45,4.57,4.69,4.80,4.90,5.00,5.11,5.21,5.32,5.43,5.55,5.68,5.82,5.96
Spain,7.78,7.92,8.05,8.16,8.27,8.35,8.42,8.46,8.49,8.51,8.52,8.52,8.53,8.53,8.53,8.54
Estonia,6.50,6.55,6.61,6.69,6.77,6.86,6.96,7.06,7.15,7.23,7.30,7.36,7.44,7.52,7.61,7.71
Ethiopia,4.08,4.19,4.31,4.42,4.52,4.63,4.74,4.84,4.95,5.06,5.17,5.29,5.40,5.53,5.66,5.80
Finland,6.66,6.68,6.68,6.69,6.68,6.67,6.65,6.62,6.60,6.57,6.53,6.50,6.47,6.44,6.42,6.40
Fiji,10.74,11.01,11.30,11.61,11.94,12.29,12.65,13.02,13.39,13.75,14.11,14.46,14.80,15.17,15.55,15.95
France,6.52,6.60,6.70,6.78,6.87,6.95,7.02,7.08,7.14,7.18,7.22,7.26,7.31,7.35,7.40,7.46
Micronesia (Federated States of),13.76,14.17,14.60,15.04,15.49,15.94,16.39,16.84,17.30,17.75,18.20,18.65,19.10,19.56,20.03,20.51
Gabon,7.49,7.70,7.90,8.09,8.28,8.46,8.63,8.79,8.95,9.11,9.25,9.38,9.53,9.68,9.84,10.01
United Kingdom,5.87,5.93,6.00,6.06,6.12,6.19,6.25,6.30,6.35,6.39,6.42,6.46,6.50,6.53,6.57,6.62
Georgia,7.64,7.85,8.09,8.36,8.66,8.99,9.34,9.71,10.11,10.53,10.95,11.38,11.83,12.30,12.78,13.28
Ghana,5.10,5.21,5.32,5.43,5.53,5.63,5.73,5.82,5.90,5.98,6.05,6.12,6.19,6.26,6.33,6.41
Guinea,4.48,4.63,4.80,4.96,5.11,5.26,5.40,5.55,5.69,5.83,5.98,6.13,6.28,6.43,6.58,6.75
Gambia,5.90,6.11,6.33,6.54,6.76,6.99,7.21,7.43,7.66,7.90,8.15,8.41,8.66,8.91,9.17,9.44
Guinea-Bissau,4.96,5.13,5.31,5.50,5.68,5.87,6.05,6.22,6.39,6.55,6.70,6.83,6.96,7.10,7.23,7.36
Equatorial Guinea,5.26,5.53,5.83,6.13,6.44,6.77,7.08,7.38,7.68,7.97,8.24,8.50,8.74,9.00,9.24,9.49
Greece,6.38,6.45,6.52,6.59,6.65,6.71,6.76,6.81,6.86,6.92,6.98,7.04,7.10,7.15,7.19,7.25
Grenada,5.89,6.05,6.23,6.41,6.60,6.79,6.99,7.18,7.39,7.59,7.79,7.98,8.17,8.37,8.58,8.81
Guatemala,6.69,6.86,7.04,7.21,7.38,7.55,7.71,7.87,8.01,8.16,8.28,8.40,8.53,8.66,8.79,8.93
Guyana,6.01,6.21,6.40,6.59,6.77,6.97,7.14,7.32,7.50,7.69,7.88,8.09,8.30,8.54,8.80,9.06
Honduras,5.97,6.12,6.29,6.45,6.61,6.78,6.95,7.13,7.31,7.49,7.65,7.81,7.97,8.14,8.31,8.49
Croatia,6.04,6.13,6.22,6.33,6.45,6.58,6.73,6.89,7.06,7.24,7.42,7.59,7.78,7.97,8.16,8.36
Haiti,5.55,5.75,5.95,6.16,6.38,6.59,6.81,7.02,7.23,7.43,7.63,7.80,7.98,8.17,8.36,8.55
Hungary,7.14,7.22,7.32,7.43,7.55,7.68,7.80,7.93,8.06,8.18,8.30,8.41,8.54,8.65,8.77,8.90
Indonesia,5.67,5.82,5.97,6.12,6.26,6.39,6.52,6.63,6.74,6.84,6.94,7.04,7.13,7.23,7.32,7.42
India,7.13,7.32,7.52,7.70,7.87,8.04,8.19,8.33,8.45,8.55,8.65,8.73,8.81,8.89,8.97,9.05
Ireland,6.21,6.34,6.48,6.60,6.71,6.81,6.89,6.97,7.03,7.08,7.12,7.15,7.18,7.22,7.26,7.31
Iran,7.19,7.39,7.60,7.84,8.11,8.40,8.70,9.00,9.31,9.61,9.90,10.19,10.48,10.79,11.08,11.39
Iraq,11.18,11.50,11.84,12.17,12.44,12.78,13.14,13.52,13.92,14.34,14.78,15.23,15.70,16.20,16.72,17.23
Iceland,7.95,7.95,7.95,7.94,7.93,7.91,7.90,7.88,7.86,7.83,7.79,7.74,7.70,7.67,7.65,7.63
Israel,6.74,6.77,6.80,6.81,6.82,6.83,6.83,6.83,6.84,6.85,6.87,6.91,6.95,6.99,7.04,7.09
Italy,5.87,5.96,6.05,6.14,6.22,6.30,6.38,6.46,6.53,6.61,6.67,6.74,6.82,6.89,6.97,7.05
Jamaica,6.26,6.44,6.62,6.80,6.98,7.16,7.34,7.53,7.73,7.93,8.13,8.34,8.57,8.79,9.03,9.28
Jordan,11.69,11.99,12.30,12.59,12.89,13.19,13.48,13.78,14.09,14.42,14.76,15.11,15.46,15.81,16.16,16.51
Japan,7.25,7.34,7.44,7.55,7.66,7.77,7.87,7.97,8.05,8.12,8.17,8.22,8.25,8.29,8.32,8.36
Kazakhstan,8.76,8.94,9.13,9.34,9.55,9.78,10.01,10.25,10.50,10.76,11.00,11.26,11.51,11.78,12.06,12.36
Kenya,4.03,4.13,4.24,4.34,4.45,4.56,4.68,4.80,4.93,5.05,5.17,5.29,5.41,5.54,5.67,5.82
Kyrgyzstan,6.56,6.71,6.87,7.04,7.22,7.42,7.62,7.82,8.04,8.27,8.51,8.77,9.06,9.33,9.63,9.93
Cambodia,4.89,5.03,5.18,5.34,5.50,5.67,5.84,6.02,6.21,6.39,6.56,6.72,6.88,7.05,7.23,7.42
Kiribati,16.78,17.34,17.86,18.36,18.82,19.24,19.61,19.92,20.21,20.49,20.74,20.99,21.23,21.48,21.74,22.01
Saint Kitts and Nevis,8.29,8.54,8.80,9.09,9.37,9.65,9.95,10.24,10.54,10.84,11.13,11.43,11.74,12.05,12.36,12.69
Kuwait,15.11,15.34,15.56,15.80,16.08,16.39,16.73,17.07,17.42,17.76,18.08,18.38,18.69,19.01,19.33,19.66
Lao People's Democratic Republic,5.23,5.40,5.58,5.75,5.93,6.10,6.27,6.44,6.60,6.76,6.92,7.08,7.25,7.41,7.57,7.73
Lebanon,8.78,8.97,9.18,9.43,9.70,10.01,10.36,10.73,11.13,11.56,12.00,12.46,12.94,13.44,13.95,14.47
Liberia,5.57,5.66,5.79,5.96,6.11,6.26,6.41,6.55,6.70,6.85,7.00,7.16,7.31,7.46,7.62,7.79
Libya,10.51,10.75,11.00,11.28,11.58,11.89,12.23,12.58,12.94,13.32,13.68,14.05,14.22,14.56,14.89,15.20
Saint Lucia,6.85,7.16,7.47,7.79,8.13,8.51,8.91,9.35,9.81,10.30,10.81,11.34,11.88,12.48,13.10,13.74
Sri Lanka,4.64,4.78,4.91,5.05,5.19,5.34,5.49,5.64,5.80,5.95,6.11,6.28,6.45,6.63,6.82,7.02
Lesotho,4.48,4.65,4.82,5.00,5.17,5.35,5.54,5.72,5.91,6.10,6.30,6.49,6.67,6.87,7.09,7.31
Lithuania,7.02,7.02,7.04,7.08,7.15,7.24,7.36,7.48,7.63,7.80,7.95,8.12,8.31,8.51,8.71,8.92
Luxembourg,6.83,6.82,6.81,6.80,6.79,6.78,6.77,6.77,6.77,6.78,6.80,6.83,6.87,6.90,6.93,6.97
Latvia,6.62,6.63,6.65,6.67,6.70,6.74,6.80,6.86,6.95,7.05,7.15,7.26,7.40,7.53,7.68,7.83
Morocco,8.69,9.00,9.32,9.65,9.98,10.32,10.67,11.01,11.36,11.72,12.09,12.47,12.85,13.24,13.64,14.04
Republic of Moldova,5.03,5.15,5.29,5.44,5.61,5.79,5.98,6.17,6.36,6.55,6.73,6.91,7.11,7.31,7.53,7.76
Madagascar,4.58,4.70,4.82,4.92,5.04,5.15,5.26,5.38,5.50,5.62,5.73,5.85,5.96,6.07,6.19,6.32
Maldives,7.50,7.84,8.20,8.59,8.95,9.25,9.52,9.74,9.93,10.11,10.27,10.47,10.68,10.81,10.94,11.06
Mexico,9.21,9.35,9.48,9.61,9.73,9.84,9.95,10.06,10.16,10.25,10.34,10.43,10.54,10.64,10.75,10.87
Marshall Islands,17.43,17.73,18.02,18.31,18.57,18.81,19.04,19.26,19.47,19.67,19.85,20.03,20.20,20.39,20.57,20.76
The former Yugoslav Republic of Macedonia,6.33,6.39,6.44,6.50,6.56,6.62,6.69,6.77,6.86,6.96,7.05,7.14,7.25,7.36,7.47,7.60
Mali,5.25,5.42,5.60,5.79,5.99,6.20,6.41,6.62,6.85,7.07,7.29,7.51,7.72,7.93,8.14,8.36
Malta,8.24,8.34,8.44,8.53,8.62,8.69,8.75,8.79,8.84,8.87,8.89,8.92,8.94,8.97,9.01,9.05
Myanmar,4.69,4.82,4.95,5.09,5.24,5.39,5.54,5.70,5.86,6.02,6.18,6.33,6.47,6.62,6.76,6.91
Montenegro,5.98,6.12,6.27,6.41,6.54,6.66,6.77,6.89,7.00,7.10,7.17,7.25,7.33,7.40,7.49,7.57
Mongolia,8.06,8.23,8.42,8.63,8.85,9.10,9.36,9.63,9.91,10.21,10.51,10.82,11.14,11.47,11.81,12.17
Mozambique,4.70,4.85,5.01,5.16,5.31,5.44,5.57,5.69,5.79,5.89,6.00,6.10,6.21,6.32,6.44,6.56
Mauritania,6.36,6.51,6.66,6.80,6.95,7.10,7.25,7.41,7.57,7.71,7.84,7.96,8.09,8.21,8.33,8.46
Mauritius,10.91,11.07,11.21,11.36,11.49,11.62,11.75,11.86,11.98,12.10,12.22,12.34,12.46,12.59,12.72,12.86
Malawi,4.46,4.60,4.73,4.85,4.98,5.10,5.23,5.36,5.49,5.63,5.78,5.94,6.09,6.26,6.44,6.62
Malaysia,8.58,8.84,9.09,9.33,9.56,9.77,9.97,10.16,10.35,10.52,10.68,10.84,10.99,11.14,11.29,11.44
Namibia,4.69,4.87,5.05,5.23,5.42,5.62,5.81,6.00,6.18,6.35,6.51,6.67,6.83,6.99,7.15,7.32
Niger,4.34,4.47,4.59,4.70,4.82,4.92,5.03,5.13,5.22,5.32,5.42,5.52,5.61,5.72,5.82,5.94
Nigeria,4.51,4.61,4.71,4.82,4.94,5.07,5.20,5.33,5.46,5.59,5.72,5.84,5.96,6.07,6.19,6.30
Nicaragua,7.17,7.33,7.48,7.63,7.78,7.93,8.08,8.21,8.34,8.47,8.58,8.70,8.82,8.95,9.08,9.23
Netherlands,4.88,4.96,5.02,5.08,5.13,5.17,5.19,5.21,5.22,5.22,5.20,5.19,5.20,5.19,5.18,5.17
Norway,5.92,6.01,6.08,6.15,6.20,6.24,6.26,6.27,6.28,6.27,6.25,6.24,6.23,6.22,6.22,6.23
Nepal,8.00,8.29,8.58,8.87,9.15,9.43,9.69,9.94,10.17,10.41,10.62,10.84,11.04,11.25,11.47,11.69
Nauru,31.28,31.27,31.25,31.21,31.18,31.04,30.88,30.66,30.44,30.40,30.30,30.22,30.15,30.11,30.08,30.08
New Zealand,7.25,7.32,7.38,7.44,7.49,7.55,7.59,7.63,7.66,7.69,7.72,7.75,7.78,7.81,7.85,7.90
Oman,9.98,10.25,10.51,10.78,11.05,11.32,11.59,11.87,12.16,12.48,12.79,13.11,13.41,13.72,14.02,14.33
Pakistan,8.81,9.06,9.32,9.58,9.83,10.10,10.36,10.62,10.87,11.12,11.36,11.61,11.85,12.09,12.33,12.58
Panama,6.76,6.90,7.02,7.15,7.27,7.39,7.51,7.64,7.78,7.92,8.06,8.21,8.37,8.54,8.72,8.90
Peru,6.16,6.18,6.21,6.23,6.26,6.30,6.35,6.42,6.50,6.59,6.68,6.78,6.87,6.99,7.11,7.23
Philippines,5.67,5.75,5.83,5.92,6.00,6.10,6.19,6.28,6.38,6.48,6.57,6.65,6.74,6.83,6.94,7.05
Palau,21.28,21.56,21.86,22.17,22.48,22.80,23.09,23.37,23.62,23.84,24.02,24.18,24.33,24.49,24.63,24.78
Papua New Guinea,10.43,10.71,10.99,11.27,11.56,11.85,12.15,12.46,12.77,13.10,13.43,13.78,14.15,14.54,14.94,15.36
Poland,6.41,6.50,6.59,6.69,6.79,6.90,7.03,7.16,7.29,7.44,7.59,7.74,7.89,8.05,8.22,8.39
Democratic People's Republic of Korea,5.05,5.06,5.07,5.08,5.10,5.13,5.16,5.20,5.24,5.30,5.35,5.42,5.49,5.57,5.66,5.75
Portugal,6.33,6.48,6.64,6.80,6.95,7.09,7.22,7.36,7.50,7.63,7.76,7.89,8.02,8.15,8.29,8.43
Paraguay,5.92,6.08,6.23,6.37,6.51,6.64,6.76,6.88,6.99,7.11,7.24,7.38,7.54,7.68,7.84,8.01
State of Palestine,10.19,10.56,10.93,11.32,11.74,12.18,12.62,13.04,13.45,13.83,14.25,14.68,15.11,15.58,16.05,16.52
Qatar,13.44,13.74,14.06,14.40,14.74,15.11,15.47,15.84,16.21,16.58,16.96,17.35,17.74,18.13,18.53,18.94
Romania,5.27,5.36,5.46,5.57,5.68,5.80,5.92,6.05,6.19,6.34,6.49,6.64,6.80,6.95,7.12,7.29
Russian Federation,6.14,6.18,6.24,6.31,6.38,6.46,6.53,6.62,6.71,6.80,6.89,6.99,7.09,7.19,7.30,7.42
Rwanda,2.58,2.69,2.81,2.93,3.05,3.17,3.29,3.40,3.51,3.63,3.74,3.84,3.94,4.06,4.17,4.29
Saudi Arabia,12.79,13.06,13.34,13.61,13.89,14.18,14.48,14.77,15.08,15.42,15.76,16.11,16.48,16.85,17.23,17.61
Sudan,6.36,6.54,6.71,6.87,7.02,7.16,7.28,7.40,7.52,7.63,7.74,7.85,7.97,8.09,8.20,8.31
Senegal,5.73,5.84,5.96,6.08,6.21,6.35,6.49,6.62,6.75,6.87,6.98,7.09,7.19,7.29,7.40,7.52
Singapore,9.57,9.54,9.49,9.43,9.36,9.30,9.24,9.21,9.19,9.19,9.19,9.21,9.25,9.28,9.32,9.36
Solomon Islands,9.59,9.81,10.00,10.18,10.37,10.56,10.75,10.94,11.12,11.32,11.51,11.71,11.94,12.17,12.40,12.63
Sierra Leone,5.11,5.22,5.33,5.44,5.56,5.68,5.81,5.94,6.07,6.20,6.33,6.47,6.61,6.76,6.92,7.10
El Salvador,7.70,7.88,8.05,8.19,8.32,8.44,8.54,8.63,8.71,8.79,8.85,8.94,9.04,9.12,9.21,9.30
Somalia,5.42,5.56,5.71,5.86,6.01,6.16,6.30,6.44,6.57,6.69,6.81,6.93,7.05,7.17,7.30,7.44
Serbia,5.88,5.98,6.09,6.20,6.31,6.41,6.51,6.60,6.70,6.78,6.86,6.94,7.03,7.10,7.19,7.27
Sao Tome and Principe,7.16,7.26,7.34,7.42,7.50,7.58,7.66,7.74,7.81,7.89,7.97,8.05,8.13,8.20,8.27,8.35
Suriname,8.34,8.48,8.63,8.80,8.98,9.17,9.35,9.53,9.71,9.89,10.06,10.22,10.38,10.56,10.75,10.95
Slovakia,6.24,6.31,6.40,6.50,6.61,6.72,6.84,6.97,7.11,7.25,7.39,7.54,7.69,7.84,8.00,8.17
Slovenia,5.89,5.96,6.04,6.12,6.20,6.27,6.34,6.42,6.50,6.60,6.70,6.81,6.94,7.05,7.17,7.29
Sweden,5.66,5.71,5.75,5.79,5.83,5.86,5.88,5.90,5.90,5.89,5.87,5.86,5.85,5.85,5.84,5.85
Eswatini,5.23,5.40,5.56,5.72,5.88,6.04,6.20,6.35,6.52,6.69,6.87,7.05,7.25,7.45,7.65,7.86
Seychelles,7.80,7.97,8.14,8.32,8.49,8.65,8.81,8.98,9.15,9.31,9.46,9.62,9.78,9.94,10.12,10.30
Syrian Arab Republic,9.55,9.82,10.09,10.36,10.62,10.88,11.15,11.41,11.71,12.01,12.34,12.71,13.06,13.37,13.66,13.97
Chad,5.12,5.30,5.48,5.66,5.84,6.05,6.25,6.45,6.63,6.81,6.99,7.17,7.35,7.52,7.70,7.89
Togo,5.27,5.41,5.55,5.69,5.84,5.98,6.12,6.25,6.39,6.51,6.63,6.75,6.87,6.99,7.12,7.25
Thailand,5.93,6.09,6.25,6.42,6.59,6.75,6.92,7.09,7.25,7.42,7.57,7.72,7.86,8.01,8.15,8.29
Tajikistan,5.96,6.12,6.31,6.52,6.76,7.02,7.30,7.59,7.89,8.20,8.52,8.84,9.17,9.52,9.89,10.27
Turkmenistan,7.41,7.61,7.82,8.05,8.30,8.56,8.84,9.15,9.47,9.82,10.19,10.58,11.00,11.43,11.88,12.35
Timor-Leste,4.55,4.63,4.72,4.80,4.87,4.93,4.98,5.02,5.06,5.10,5.15,5.19,5.24,5.28,5.33,5.38
Tonga,15.67,16.13,16.59,17.04,17.49,17.92,18.34,18.74,19.13,19.52,19.91,20.30,20.69,21.09,21.49,21.91
Trinidad and Tobago,5.75,5.98,6.23,6.49,6.76,7.05,7.35,7.67,7.99,8.32,8.65,8.98,9.32,9.67,10.03,10.41
Tunisia,8.05,8.28,8.54,8.80,9.08,9.35,9.62,9.89,10.16,10.44,10.71,10.99,11.26,11.54,11.83,12.13
Turkey,8.19,8.48,8.79,9.11,9.45,9.81,10.16,10.50,10.84,11.17,11.48,11.79,12.09,12.41,12.73,13.05
Tuvalu,17.91,18.35,18.79,19.22,19.64,20.02,20.38,20.72,21.07,21.42,21.75,22.05,22.36,22.65,22.95,23.25
United Republic of Tanzania,4.48,4.59,4.71,4.81,4.92,5.03,5.13,5.22,5.32,5.41,5.51,5.60,5.70,5.80,5.91,6.02
Uganda,2.57,2.66,2.75,2.83,2.92,3.00,3.10,3.21,3.32,3.45,3.59,3.73,3.89,4.05,4.22,4.40
Ukraine,5.90,5.96,6.04,6.14,6.24,6.35,6.46,6.57,6.68,6.79,6.89,6.98,7.09,7.19,7.30,7.42
Uruguay,8.23,8.29,8.34,8.38,8.41,8.45,8.49,8.53,8.58,8.63,8.70,8.77,8.86,8.94,9.04,9.14
United States of America,6.91,7.04,7.15,7.26,7.36,7.46,7.55,7.63,7.71,7.78,7.84,7.90,7.97,8.03,8.10,8.17
Uzbekistan,6.47,6.63,6.81,7.00,7.21,7.43,7.68,7.93,8.20,8.48,8.78,9.09,9.41,9.75,10.11,10.48
Saint Vincent and the Grenadines,7.13,7.32,7.50,7.67,7.84,7.99,8.13,8.27,8.40,8.53,8.65,8.78,8.93,9.06,9.20,9.34
Venezuela,9.12,9.20,9.27,9.33,9.37,9.42,9.48,9.54,9.61,9.67,9.71,9.75,9.78,9.83,9.89,9.94
Viet Nam,4.02,4.12,4.23,4.34,4.45,4.56,4.67,4.78,4.88,4.97,5.07,5.16,5.26,5.35,5.44,5.54
Vanuatu,10.75,11.05,11.35,11.64,11.94,12.24,12.54,12.86,13.20,13.54,13.89,14.24,14.60,14.96,15.34,15.72
Samoa,14.97,15.50,16.03,16.54,17.05,17.56,18.06,18.57,19.09,19.61,20.11,20.60,21.09,21.60,22.12,22.66
Yemen,7.10,7.41,7.74,8.07,8.43,8.78,9.15,9.52,9.88,10.26,10.64,11.03,11.40,11.79,12.18,12.59
South Africa,6.98,7.15,7.33,7.51,7.69,7.88,8.07,8.27,8.47,8.66,8.84,9.00,9.17,9.33,9.50,9.67
Zambia,4.81,4.89,4.97,5.07,5.16,5.26,5.36,5.46,5.57,5.67,5.79,5.91,6.05,6.18,6.32,6.46
Zimbabwe,5.06,5.20,5.33,5.45,5.55,5.65,5.74,5.82,5.90,5.95,6.02,6.09,6.18,6.28,6.39,6.51